expiry,as_of,forward,tau,strike,is_call,bid,ask,mid,iv,iv_bid,iv_ask,delta,volume,open_interest
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2975,True,6.0999999999999996,6.7000000000000002,6.4000000000000004,0.14605475192783046,0.14358803045056051,0.14848374431145564,0.17187947375249812,3,11
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2980,True,5.2000000000000002,5.7999999999999998,5.5,0.14506133191313242,0.14239559095151288,0.1476755481583267,0.15306650994133492,2,47
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2985,True,4.5,5,4.75,0.14456811998722396,0.14216539761498281,0.14692269384026369,0.13631612919151653,1,10
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2990,True,3.7999999999999998,4.2999999999999998,4.0499999999999998,0.14373610668909528,0.14110722156654262,0.14629904207396061,0.12022260996123119,3,58
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2995,True,3.2000000000000002,3.7000000000000002,3.4500000000000002,0.14310533790240962,0.14021390186365171,0.14590661699363291,0.10570254643321819,5,39
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3000,True,2.75,3.2000000000000002,2.9750000000000001,0.14312882298736543,0.14027623477072665,0.14588393262925464,0.093429089507465313,8,6
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3010,True,1.95,2.3500000000000001,2.1499999999999999,0.142576284695794,0.13944760056383651,0.14556167296647782,0.07129861413610751,3,15
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3020,True,1.3500000000000001,1.75,1.55,0.14248500723707086,0.13854595414207274,0.14615711037500809,0.053937960738415572,3,43
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3025,True,1.1499999999999999,1.5,1.325,0.14278680968396609,0.13893419275169916,0.14636428415013597,0.047028072518126712,1,42
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3030,True,0.94999999999999996,1.3,1.125,0.14297516302519261,0.13861280924987038,0.14696207384424112,0.040758813978637176,3,65
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3035,True,0.80000000000000004,1.1499999999999999,0.97499999999999998,0.14376426573591836,0.13887026654625492,0.14816352844793526,0.035807024673767354,1,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3040,True,0.69999999999999996,1,0.84999999999999998,0.14472317776430738,0.14006950915180771,0.14890455919938117,0.031570011445886705,20,33
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3045,True,0.59999999999999998,0.90000000000000002,0.75,0.14598265584887762,0.14080227695144668,0.1505597078802178,0.028066916228744389,21,22
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3050,True,0.5,0.80000000000000004,0.65000000000000002,0.14681145769920495,0.14095435138875773,0.15187231125271428,0.024614029465478818,4,14
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,3055,True,0.45000000000000001,0.69999999999999996,0.57499999999999996,0.14812159357247054,0.14275953057647689,0.15278493771275589,0.021908934593369823,3,13
